Date	Value
13990418	18160
13990417	18064.7
13990416	17811.9
13990415	17285.7
13990414	16987.6
13990411	17000
13990410	16516.8
13990409	15953.4
13990408	16063.5
13990407	16031.1
13990404	15202.4
13990403	15098.9
13990402	14715.7
13990401	14464.1
13990331	14179.6
13990327	13806.2
13990326	13495.4
13990325	13281.8
13990324	13182.4
13990321	12870.9
13990320	12565.1
13990319	12585
13990318	12493.1
13990317	12086.1
13990313	11696.8
13990312	11344.9
13990311	11216.9
13990310	11248.6
13990307	10864.4
13990306	10827
13990303	11022.6
13990231	11112.9
13990230	11291.8
13990229	11235.2
13990228	10955.7
13990227	11062.3
13990224	11299.6
13990223	11332.7
13990222	11606.9
13990221	11683.5
13990220	11513.8
13990217	11149.7
13990216	11165.6
13990215	11226.5
13990214	11084.6
13990213	10702.9
13990210	10286.7
13990209	9941
13990208	9774.5
13990207	9607.5
13990206	9351
13990203	9072.7
13990202	8876.4
13990201	8741.2
13990131	8583.2
13990130	8438.5
13990127	8183.6
13990126	7997.1
13990125	8042.8
13990124	7962
13990123	7771.6
13990120	7727.6
13990119	7552.1
13990118	7382.6
13990117	7342.1
13990116	7225
13990111	7020.3
13990110	7018.9
13990109	6864.2
13990106	6694.9
13990105	6582.9
13981228	6591.3
13981227	6491
13981226	6548.6
13981225	6505.6
13981224	6583.4
13981221	6767.2
13981220	6744.2
13981219	6893.8
13981217	7041.6
13981214	7104.2
13981213	6952.7
13981212	6784.3
13981211	6675
13981210	6535
13981207	6744.4
13981206	6691.7
13981205	6552.4
13981204	6462.5
13981203	6213.3
13981130	6206.7
13981129	6116.3
13981128	6143.3
13981127	6054.8
13981126	5915.2
13981123	5815.4
13981121	5660.7
13981120	5759
13981119	5747.4
13981116	5655
13981115	5545.5
13981114	5537
13981113	5415.8
13981112	5415.2
13981108	5404.5
13981107	5323.1
13981106	5340.5
13981105	5351.1
13981102	5287.8
13981101	5258.4
13981030	5301
13981029	5296.6
13981028	5273.5
13981025	5110.9
13981024	5094.9
13981023	5045.7
13981022	4894.3
13981021	4646
13981018	4559.9
13981017	4630.9
13981015	4742.9
13981014	4797.2
13981011	5020.9
13981010	4947
13981009	4931.4
13981008	4823.2
13981007	4774.2
13981004	4662.6
13981003	4666.5
13981002	4614.2
13981001	4610.8
13980930	4559
13980927	4531.5
13980926	4528.1
13980925	4483.3
13980924	4471.4
13980923	4449.1
13980920	4385.7
13980919	4392
13980918	4351.1
13980917	4282.3
13980916	4228.8
13980913	4159.7
13980912	4116.3
13980911	4109.8
13980910	4131.4
13980909	4092.8
13980906	4061.2
13980905	4045
13980904	3999.1
13980903	3946.5
13980902	3954.8
13980829	3950.1
13980828	3921.3
13980827	3866.2
13980826	3851.9
13980825	3935.4
13980822	3932.4
13980821	3922.2
13980820	3891.5
13980819	3869.5
13980818	3894.1
13980814	3884.5
13980813	3883.8
13980812	3914.6
13980811	3916.7
13980808	3927.6
13980806	3852.6
13980804	3783.3
13980801	3783.4
13980730	3804.9
13980729	3705.9
13980728	3732.7
13980724	3868.5
13980723	3917.4
13980722	4058
13980721	4161.8
13980720	4155
13980717	4069.6
13980716	4118.6
13980715	4211.6
13980714	4187.9
13980713	4255.1
13980710	4272.2
13980709	4293.9
13980708	4299.9
13980707	4236.5
13980706	4248
13980703	4168
13980702	4138.1
13980701	4121.1
13980631	4017
13980630	3952.9
13980627	3886.5
13980626	3990.1
13980625	4011.4
13980624	3930.1
13980623	3918.7
13980620	3884.9
13980617	3840.9
13980616	3833
13980613	3770.7
13980612	3715.5
13980611	3714.8
13980610	3776.9
13980609	3767
13980606	3710.2
13980605	3704.2
13980604	3653.3
13980603	3561.6
13980602	3589.4
13980530	3579.3
13980528	3534.5
13980527	3510
13980526	3526
13980523	3517.3
13980522	3467.3
13980520	3438.5
13980519	3433.3
13980516	3418.9
13980515	3421.8
13980514	3410
13980513	3406.8
13980512	3393.7
13980509	3374.4
13980508	3325.8
13980507	3285.7
13980506	3290.8
13980505	3306.1
13980502	3292
13980501	3270.1
13980431	3274.8
13980430	3232.6
13980429	3213.1
13980426	3206.9
13980425	3187.2
13980424	3311.3
13980423	3316.3
13980422	3256.3
13980419	3254.6
13980418	3222.4
13980417	3218.9
13980416	3201.3
13980415	3192.8
13980412	3213.5
13980411	3197.9
13980410	3185.3
13980409	3194.1
13980405	3178.4
13980404	3133.7
13980403	3103.2
13980402	3046
13980401	2966.2
13980329	2978.1
13980328	3034.1
13980327	3018.2
13980326	2985.3
13980325	2951.5
13980322	2957
13980321	2937.5
13980320	2922.8
13980319	2924.9
13980318	2896
13980313	2910
13980312	2851.1
13980311	2785.4
13980308	2800.2
13980307	2787.7
13980305	2715.8
13980304	2671.3
13980301	2671.5
13980231	2644.4
13980230	2623
13980229	2633.5
13980228	2612.6
13980225	2583.5
13980224	2588.1
13980223	2539.7
13980222	2494.2
13980221	2589.5
13980218	2605.7
13980217	2570.5
13980216	2623.3
13980215	2663.2
13980214	2665.1
13980211	2643.2
13980210	2632.3
13980209	2613.6
13980208	2568.4
13980207	2519.6
13980204	2493.4
13980203	2480
13980202	2494.6
13980131	2477.8
13980128	2420.5
13980127	2458
13980126	2496.7
13980125	2451.9
13980124	2473.1
13980121	2470.3
13980120	2430
13980119	2412.4
13980118	2410.5
13980117	2390.6
13980111	2405.3
13980110	2413.7
13980107	2358.1
13980106	2311.1
13980105	2288.2
13971228	2257.9
13971227	2206.5
13971226	2156.8
13971225	2114.8
13971222	2095.6
13971221	2090.6
13971220	2096.7
13971219	2070.1
13971218	2050.5
13971215	2064
13971214	2064.1
13971213	2090.1
13971212	2082
13971211	2099.4
13971208	2100.3
13971207	2068.3
13971206	2071.5
13971205	2052
13971204	2028.2
13971201	1990
13971201	1990
13971130	1965.2
13971130	1965.2
13971129	1947.2
13971129	1947.2
13971128	1937.6
13971128	1937.6
13971127	1948.7
13971127	1948.7
13971124	1936
13971124	1936
13971123	1934.7
13971123	1934.7
13971121	1933.6
13971121	1933.6
13971117	1934.8
13971117	1934.8
13971116	1922.8
13971116	1922.8
13971115	1923.6
13971115	1923.6
13971114	1909.5
13971114	1909.5
13971113	1940.5
13971113	1940.5
13971110	1932
13971110	1932
13971109	1914.9
13971109	1914.9
13971108	1909.1
13971108	1909.1
13971107	1942.2
13971107	1942.2
13971106	1962.4
13971106	1962.4
13971103	1980.1
13971103	1980.1
13971102	1980.6
13971102	1980.6
13971101	1970.9
13971101	1970.9
13971030	1992.1
13971030	1992.1
13971029	2003.5
13971029	2003.5
13971026	1983.5
13971026	1983.5
13971025	1977.8
13971025	1977.8
13971024	1949.5
13971024	1949.5
13971023	1933.7
13971023	1933.7
13971022	1941.7
13971022	1941.7
13971019	1944.6
13971019	1944.6
13971018	1922.9
13971018	1922.9
13971017	1909.4
13971017	1909.4
13971016	1883.1
13971016	1883.1
13971015	1871.6
13971015	1871.6
13971012	1875.5
13971012	1875.5
13971011	1882.5
13971011	1882.5
13971010	1873.4
13971009	1869.2
13971008	1865.9
13971005	1836.8
13971004	1820.5
13971003	1826.7
13971002	1816.9
13971001	1780
13970928	1791
13970927	1808.6
13970926	1809.7
13970925	1826.6
13970924	1842.5
13970921	1851.2
13970920	1857.8
13970919	1857.7
13970918	1838.6
13970917	1858.3
13970914	1844.6
13970913	1829.5
13970912	1824.2
13970911	1774.3
13970910	1717.9
13970907	1777.5
13970906	1816.3
13970905	1800.7
13970903	1864.6
13970830	1907.9
13970829	1915
13970828	1910.9
13970827	1880.1
13970826	1911.6
13970823	1957.2
13970822	1993.7
13970821	1986.2
13970820	1960.8
13970819	1994.4
13970814	2011.1
13970813	1984.6
13970812	2008.2
13970809	2018.2
13970807	2040.3
13970806	2013.4
13970805	2018
13970802	2065.1
13970801	2105.2
13970730	2102.4
13970729	2111.1
13970728	2089
13970725	2020.4
13970724	2027.6
13970723	1995.5
13970722	1927.8
13970721	1940.5
13970718	2012.7
13970717	2031.1
13970716	1981.5
13970715	2020.7
13970714	2109.4
13970711	2114.8
13970710	2166.2
13970709	2241
13970708	2228.6
13970707	2150.9
13970704	2071
13970703	2012.8
13970702	1949.7
13970701	1902
13970631	1878.7
13970627	1858.6
13970626	1837.2
13970625	1794.8
13970624	1805.6
13970621	1771.3
13970620	1696
13970619	1686.3
13970618	1642.8
13970617	1615.1
13970614	1579.9
13970613	1568.7
13970612	1527.2
13970611	1506.9
13970610	1545.2
13970607	1556.4
13970606	1550.2
13970605	1578.2
13970604	1561.8
13970603	1545.1
13970530	1553.3
13970529	1555.7
13970528	1537.5
13970527	1505.9
13970524	1500.8
13970523	1501.4
13970522	1483.3
13970521	1491.5
13970520	1479.2
13970517	1499.6
13970516	1532.1
13970515	1527.3
13970513	1419.1
13970510	1428.5
13970509	1394.7
13970508	1337.2
13970507	1294.2
13970506	1275.1
13970503	1232.5
13970502	1218.7
13970501	1219.1
13970431	1222.3
13970430	1213.8
13970427	1210.8
13970426	1209.7
13970425	1215.4
13970424	1218.7
13970423	1225.1
13970420	1225.8
13970419	1237.6
13970417	1240
13970416	1244.4
13970413	1252.8
13970412	1250.3
13970411	1230.7
13970410	1230.5
13970409	1266.9
13970406	1269.5
13970405	1296.5
13970404	1317.3
13970403	1287.8
13970402	1258.3
13970330	1241.6
13970329	1213.5
13970328	1201.7
13970327	1191.4
13970323	1153.7
13970322	1116.6
13970321	1108.3
13970320	1104.6
13970319	1107.4
13970313	1111.6
13970312	1112.1
13970309	1110.3
13970308	1100.1
13970307	1102.9
13970306	1107.3
13970305	1110.9
13970302	1107
13970301	1102.8
13970231	1106.7
13970230	1109.7
13970229	1107.1
13970226	1097.8
13970225	1093.3
13970224	1090.4
13970223	1081.8
13970222	1074
13970219	1069.9
13970218	1078.5
13970217	1070.7
13970216	1047.6
13970215	1041.8
13970211	1057
13970210	1052.7
13970209	1051.6
13970208	1055.2
13970205	1060.7
13970204	1060.8
13970203	1055.8
13970202	1059.9
13970201	1066.6
13970129	1063.8
13970128	1056.4
13970127	1053.5
13970126	1065.6
13970122	1064.1
13970121	1074.5
13970120	1096.9
13970119	1085.8
13970118	1096.8
13970115	1106.7
13970114	1113.4
13970108	1106.9
13970107	1107.6
13970106	1103.8
13970105	1101.5
